"CLAGE","CLNO","DEBTINC","DELINQ","DEROG","LOAN","MORTDUE","NINQ","VALUE","YOJ","BAD","JOB_Mgr","JOB_Office","JOB_Other","JOB_ProfExe","JOB_Sales","JOB_Self","REASON_DebtCon","REASON_HomeImp"
94.3666666666667,9,35.0726095226191,0,0,1100,25860,1,39025,10.5,"1",0,0,1,0,0,0,0,1
121.833333333333,14,35.5492209397742,2,0,1300,70053,0,68400,7,"1",0,0,1,0,0,0,0,1
149.466666666667,10,29.7371369666262,0,0,1500,13500,1,16700,4,"1",0,0,1,0,0,0,0,1
133.71092319112,11.6,26.9538409678533,1,0.5,1500,29522.3,0.9,43861.5333333333,6.3,"1",0,0,1,0,0,0,0,1
93.3333333333333,14,31.3720161732869,0,0,1700,97800,0,112000,3,"0",0,1,0,0,0,0,0,1
101.466001910589,8,37.1136135584459,0,0,1700,30548,1,40320,9,"1",0,0,1,0,0,0,0,1
77.1,17,34.6522782161675,2,3,1800,48649,1,57037,5,"1",0,0,1,0,0,0,0,1
88.7660298789099,8,36.8848940929048,0,0,1800,28502,0,43034,11,"1",0,0,1,0,0,0,0,1
216.933333333333,12,36.273556213435,2,0,2000,32700,1,46740,3,"1",0,0,1,0,0,0,0,1
115.8,13,37.0885789981259,0,0,2000,41277.5,0,62250,16,"1",0,0,0,0,1,0,0,1
211.761047464004,16,18.3922674116796,1.7,1,2000,22608,1.4,44560,18,"1",0,0,1,0,0,0,0,1
122.533333333333,9,32.4030332400012,1,0,2000,20627,1,29800,11,"1",0,1,0,0,0,0,0,1
86.0666666666667,25,40.5426266991983,0,0,2000,45000,2,55000,3,"1",0,0,1,0,0,0,0,1
147.133333333333,24,35.3606389941111,0,0,2000,64536,0,87400,2.5,"0",1,0,0,0,0,0,0,1
123,16,37.1254146222493,1,0,2100,71000,0,83850,8,"1",0,0,1,0,0,0,0,1
300.866666666667,8,31.2732835113193,1,0,2200,24280,0,34687,4.1,"1",0,0,1,0,0,0,0,1
122.9,22,37.051466003088,6,2,2200,90957,1,102600,7,"1",1,0,0,0,0,0,0,1
213.361946129054,20.9,3.71131229945985,1.6,1.1,2200,23030,1.3,51569.6,19,"1",0,0,1,0,0,0,1,0
54.6,16,36.8492886192369,0,0,2300,28192,1,40150,4.5,"1",0,0,1,0,0,0,0,1
90.9925334673386,13,31.5885031783155,0,0,2300,102370,0,120953,2,"0",0,1,0,0,0,0,0,1
