"CLAGE","CLNO","DEBTINC","DELINQ","DEROG","LOAN","MORTDUE","NINQ","VALUE","YOJ","BAD","JOB_Mgr","JOB_Office","JOB_Other","JOB_ProfExe","JOB_Sales","JOB_Self","REASON_DebtCon","REASON_HomeImp"
94.3666666666667,9,31.120697693481,0,0,1100,25860,1,39025,10.5,"1",0,0,1,0,0,0,0,1
121.833333333333,14,33.0009899676726,2,0,1300,70053,0,68400,7,"1",0,0,1,0,0,0,0,1
149.466666666667,10,23.4694755994526,0,0,1500,13500,1,16700,4,"1",0,0,1,0,0,0,0,1
150.622911887525,25.7,37.1924861613482,2.8,1.1,1500,57196.8,1.7,64454.5,8.51,"1",0,0,0,1,0,0,0,1
93.3333333333333,14,30.1947069164527,0,0,1700,97800,0,112000,3,"0",0,1,0,0,0,0,0,1
101.466001910589,8,37.1136135584459,0,0,1700,30548,1,40320,9,"1",0,0,1,0,0,0,0,1
77.1,17,31.8508382382844,2,3,1800,48649,1,57037,5,"1",0,0,1,0,0,0,0,1
88.7660298789099,8,36.8848940929048,0,0,1800,28502,0,43034,11,"1",0,0,1,0,0,0,0,1
216.933333333333,12,18.8707985889003,2,0,2000,32700,1,46740,3,"1",0,0,1,0,0,0,0,1
115.8,13,38.7300006917701,0,0,2000,50814.9,0,62250,16,"1",0,0,0,0,1,0,0,1
140.359816739521,10.7565217391304,16.1768664431939,2.7,0.6,2000,22608,0.4,48825.5,18,"1",1,0,0,0,0,0,0,1
122.533333333333,9,24.2095600717918,1,0,2000,20627,1,29800,11,"1",0,1,0,0,0,0,0,1
86.0666666666667,25,39.8829664789869,0,0,2000,45000,2,55000,3,"1",0,0,1,0,0,0,0,1
147.133333333333,24,31.7348063960335,0,0,2000,64536,0,87400,2.5,"0",1,0,0,0,0,0,0,1
123,16,31.4451862507733,1,0,2100,71000,0,83850,8,"1",0,0,1,0,0,0,0,1
300.866666666667,8,28.5961167882835,1,0,2200,24280,0,34687,4.39285714285714,"1",0,0,1,0,0,0,0,1
122.9,22,41.9561133538476,6,2,2200,90957,1,102600,7,"1",1,0,0,0,0,0,0,1
226.853647982395,16.6,3.71131229945985,2.2,0.4,2200,23030,2.4,44850.2,19,"1",0,1,0,0,0,0,0,1
54.6,16,32.2580313343872,0,0,2300,28192,1,40150,4.5,"1",0,0,1,0,0,0,0,1
90.9925334673386,13,31.5885031783155,0,0,2300,102370,0,120953,2,"0",0,1,0,0,0,0,0,1
122.266666666667,14,27.7042615856408,1,0,2300,37626,1,46200,3,"1",0,0,1,0,0,0,0,1
519.301769411417,0,27.0068214375465,0,1,2400,50000,1,73395,5,"1",0,0,0,1,0,0,0,1
67.2,22,27.3900976650543,0,0,2400,28000,2,40800,12,"1",1,0,0,0,0,0,0,1
121.733333333333,10,13.1224479948601,2,0.2,2400,18000,0,48035.7,22,"1",1,0,0,0,0,0,0,1
14.5666666666667,4,27.2266506884208,0,0,2400,18806,3,17180,6.8,"1",0,0,1,0,0,0,0,1
70.4910800318371,21,38.2636007309303,0,0,2400,34863,1,47471,12,"1",1,0,0,0,0,0,0,1
93.8117748545694,13,29.6818270451957,0,0,2400,98449,0,117195,4,"0",0,1,0,0,0,0,0,1
136.066666666667,19,28.8816295854536,0,0,2500,15000,1,20200,18,"1",0,0,1,0,0,0,0,1
276.966666666667,9,15.3119203021829,2,1,2500,25116,0,36350,10,"1",0,0,1,0,0,0,0,1
208,12,33.4186000884046,0,0,2500,7229,0,44516,10.915,"0",0,0,0,0,0,1,0,1
255.733333333333,12,40.4961626252654,0,0,2500,71408,0,78600,8,"0",0,0,0,1,0,0,0,1
145.633333333333,45,38.2206454986476,15,2,2800,50795,3,63100,26,"1",0,0,0,0,0,1,0,1
112.633333333333,9,29.4229794569551,0,4,2800,4000,2,60850,16,"1",0,0,1,0,0,0,0,1
165.333333333333,26,36.8917738537992,0,1,2900,78600,2,113000,6,"1",0,0,0,1,0,0,1,0
96.1023296698115,13,30.0511362863198,0,0,2900,103949,0,112505,1,"0",0,1,0,0,0,0,0,1
101.540297533419,13,29.9158590280245,0,0,2900,104373,0,120702,2,"0",0,1,0,0,0,0,0,1
122.204662761713,8,36.211347997762,0,3,2900,7750,2,67996,16,"1",0,0,1,0,0,0,0,1
282.80165923776,37,49.2063957904495,0,0,2900,61962,3,70915,2,"1",1,0,0,0,0,0,1,0
85.884371894994,14,32.0597832671831,0,0,3000,104570,0,121729,2,"0",0,1,0,0,0,0,0,1
50.8,9,25.3134177302925,0,0,3000,7000,5,20300,3,"1",0,0,1,0,0,0,0,1
77.7666666666667,3,30.9500323469346,1,0,3000,25733.7,0,8800,2,"1",0,0,1,0,0,0,0,1
23.3,2,25.8243732128061,1,0,3000,16316.6,1,33000,1,"1",0,0,1,0,0,0,0,1
130.033358458961,27,35.1675052518063,0,0,3000,119826,0,193500,8,"1",0,0,1,0,0,0,0,1
187.066666666667,12,30.1450067041257,0,0,3000,20000,0,29750,2,"1",0,0,1,0,0,0,1,0
9.3,2,29.5995434777311,0,0,3000,26211.1666666667,14,14500,3,"1",0,0,1,0,0,0,0,1
104.2,19,31.0720569307218,0,0,3000,26584.9,0,14100,1,"1",0,0,1,0,0,0,0,1
262.166666666667,26,43.7953862128562,1,0,3000,47000,5,82700,10,"1",0,0,0,1,0,0,0,1
62.3666666666667,10,20.892049985094,2,0,3000,34542,0,45900,8.5,"1",1,0,0,0,0,0,0,1
211.933333333333,25,38.3523807366697,2,-1.0547118733939e-16,3000,58000,0,71500,10,"0",1,0,0,0,0,0,0,1
201.866666666667,20,22.0658240000725,0,0,3000,47000,0,56400,21,"0",0,1,0,0,0,0,0,1
153.166666666667,14,37.504936562777,0,0,3100,39589,1,36100,1.5,"1",0,0,1,0,0,0,0,1
166.427572950792,19.9142857142857,31.4900006033867,0.1,0.4,3100,48501.484,0.2,70400,4.72,"0",0,1,0,0,0,0,0,1
206.426602063746,25,40.115677277509,1,0.0999999999999999,3200,67848,0,74566,10,"0",1,0,0,0,0,0,0,1
122.033333333333,25,36.7193629663602,4,0,3200,48603,1,61000,28,"1",0,0,0,1,0,0,0,1
298.131564030104,7,35.5535387893457,0,0,3200,27200,0,40834,3.94285714285714,"1",0,0,1,0,0,0,0,1
121.866666666667,21,34.8305989696577,0,0,3200,54000,3,64850,1,"1",0,0,1,0,0,0,0,1
250.631269223786,12,42.9099973509554,0,0,3200,74864,0,87266,7,"0",0,0,0,1,0,0,0,1
117.805747837844,9,0.524499215429881,2,0.6,3200,23159,0,46218.2,20,"1",1,0,0,0,0,0,0,1
139,36,34.3069816399019,0,1,3300,126541,0,134527,9,"1",0,0,0,0,1,0,0,1
192.289148972957,33,35.7305591898926,6,0,3300,130518,0,164317,9,"1",0,0,1,0,0,0,1,0
183.299915611814,6,31.6739263577014,1,0,3400,37000,0,52000,2,"1",0,1,0,0,0,0,0,1
162.366666666667,14,30.8235707492692,0,0,3500,23200,0,38666,11,"1",0,0,1,0,0,0,0,1
95.9333333333333,9,27.7362854768774,0,0,3500,19400,0,20494,5,"1",0,0,1,0,0,0,0,1
185.512343812024,22.7,35.046439320442,1.4,1.1,3600,61584,1,61800,10,"1",0,0,0,1,0,0,0,1
72.0333333333333,4,48.4230016149082,0,0,3600,41900,2,52490,3,"1",1,0,0,0,0,0,0,1
192.733333333333,28,28.2803937820808,0,0,3600,83700,1,111800,6,"0",0,0,0,1,0,0,0,1
202.51077515241,25,41.5163896993251,2,0.2,3600,61327,0,76484,9,"0",1,0,0,0,0,0,0,1
88.4704521347716,14,29.3935433821909,0,0,3600,100693,0,114743,6,"0",0,1,0,0,0,0,0,1
97.4,17,34.9846335493613,4,1,3600,48507,0,61000,13,"1",0,1,0,0,0,0,1,0
204.272498843927,20,20.4709155077911,0,0,3600,52337,0,63989,20,"0",0,1,0,0,0,0,0,1
129.717323127429,9,26.6343475182701,0,0,3700,17857,1,21144,5,"1",0,0,1,0,0,0,0,1
252.633333333333,25,30.3656650177262,6,1,3800,19135,1,97692,1.6,"1",1,0,0,0,0,0,0,1
203.751533578916,20,20.067042050961,0,0,3800,51180,0,63459,20,"0",0,1,0,0,0,0,0,1
176.535068352258,23.1,22.2539491564939,1.3,1.3,3800,40071.35,0.95,73189,11.6,"0",0,1,0,0,0,0,0,1
204.64799167056,11,42.1731658823291,0,0,3800,11543,0,46045,13.6275,"0",0,0,0,0,0,1,0,1
146.123242194151,14,24.4788811910939,0,0,3900,29896,0,45960,11,"1",0,0,1,0,0,0,0,1
150.3,8,23.9381490041218,1,0,3900,14500,5,22092,3.5,"1",0,0,1,0,0,0,0,1
171.666666666667,31,22.4329038606844,4,0,3900,52825,1,63000,8,"0",0,0,0,1,0,0,1,0
85.2773655787646,13,29.3439210886061,0,0,3900,102143,0,118742,2,"0",0,1,0,0,0,0,0,1
86.5666666666667,14,22.4394101286002,1,0,3900,21200,2,39000,4,"1",1,0,0,0,0,0,1,0
94.7248741671333,13,29.3909280551742,0,0,4000,105164,0,112774,1,"0",0,1,0,0,0,0,0,1
205.586680033493,19,21.8065634639499,0,0,4000,54543,0,61777,21,"0",0,1,0,0,0,0,0,1
126.533333333333,12,34.5154940550362,2,0,4000,62617.1666666667,3,80609,1.5,"1",0,0,1,0,0,0,0,1
117.795103874788,8,41.286491947517,0,0,4000,26572,0,31960,11,"1",0,1,0,0,0,0,0,1
85.3333333333333,9,17.6332229064634,1,3,4000,17000,1,52012,22,"1",0,0,0,1,0,0,0,1
92.1333333333333,26,32.566853063675,0,0,4000,29562,1,37200,6,"1",0,0,1,0,0,0,1,0
136.133333333333,15,33.9763967020755,3,0,4000,41700,0,76725,0.5,"1",0,0,1,0,0,0,0,1
168.666666666667,18,32.6290823053904,1,0,4000,58000,0,69440,3.5,"1",0,0,1,0,0,0,0,1
12.2,17,28.3606010233257,0,0,4000,5700,0,18000,4.95,"1",0,0,1,0,0,0,1,0
162,16,50.7808116955831,0,0,4000,45000,3,58350,3.5,"1",1,0,0,0,0,0,0,1
85.8,23,35.0519526081606,1,0,4000,7000,2,16020,18,"1",0,0,1,0,0,0,0,1
279,6,35.5980704573235,0,2,4000,66000,1,79050,1.8,"0",0,0,1,0,0,0,0,1
547.527834369891,0,16.6423649532627,0,0,4000,19224.6,0,45760,0,"0",0,0,1,0,0,0,0,1
109.566666666667,15,38.8235259948783,0,0,4000,62000,0,78000,4,"0",0,0,1,0,0,0,0,1
160.3,23,36.6401196786911,0,2,4000,64240,1,63990,5,"0",0,0,0,0,1,0,0,1
186.633333333333,9,27.2213404423447,3,1,4000,74000,1.2,93000,2.6,"1",0,0,0,1,0,0,0,1
146.1,22,36.6827131607354,0,2,4000,55000,0,59000,12,"1",0,0,1,0,0,0,1,0
212.349303879201,25,39.1287176277995,1,0.0999999999999999,4000,67625,0,80698,11,"0",1,0,0,0,0,0,0,1
227.792988410622,25,39.1663287025626,2,0.2,4000,67533,0,71865,10,"0",1,0,0,0,0,0,0,1
100.774652207425,19,33.8409199038245,0,0,4100,28134.68,0,19132,0,"1",0,0,1,0,0,0,0,1
63.9333333333333,15,36.3691721487754,2,1,4100,58500,2,65000,8,"1",0,0,1,0,0,0,0,1
165.50503695302,31,22.2781743697255,4,0,4100,57992,1,63797,7,"0",0,0,0,1,0,0,1,0
211.002599120024,20,19.0277044247499,0,0,4200,56544,1,59218,19,"0",0,1,0,0,0,0,0,1
93.5,5,33.8920234824047,0,1,4200,34800,1,50225,2,"1",0,0,1,0,0,0,0,1
128.833333333333,31,35.2110603863037,0,0,4200,67700,0,77000,4,"0",0,0,0,0,1,0,1,0
75.4333333333333,16,31.3252775452627,1,0.0999999999999999,4200,44000,2.2,55085,6,"0",0,0,1,0,0,0,1,0
110.278662594096,15,43.450587911052,0,0,4200,66272,0,82953,3,"0",0,0,1,0,0,0,0,1
209.871302243017,19,20.208032669643,0,0,4200,50216,0,58541,19,"0",0,1,0,0,0,0,0,1
129.932869017443,31,34.1813765157766,0,0,4300,71206,0,78698,3,"0",0,0,0,0,1,0,1,0
105.12070880504,14,41.8063761523582,0,0,4300,68815,0,79852,6,"0",0,0,1,0,0,0,0,1
263.970300294846,5,36.4320939367088,0,2,4300,72021,0,80027,2,"0",0,0,1,0,0,0,0,1
162.390010669274,30,23.5810792388306,3,0,4400,53969,0,63869,7,"0",0,0,0,1,0,0,1,0
158.666625038492,15.5,32.1974298868573,0.6,1.4,4400,44317.55,1.1,60250,7.2,"0",0,0,1,0,0,0,0,1
89.8610582497177,17,39.1580848338213,3,1,4400,53091,0,64074,14,"1",0,1,0,0,0,0,1,0
81.3490650979605,15,40.7053087596899,0,1,4500,66127,0,79087,4,"0",0,0,1,0,0,0,0,1
168.894004821656,17.1,25.2272529043105,1,0.4,4500,57807.11,1,77182,7.8,"0",0,1,0,0,0,0,0,1
170.366666666667,19,30.5348293239432,0,0,4500,39000,1,66000,1,"1",0,0,1,0,0,0,0,1
118.760410071659,14,41.4211105205776,0,0,4500,71082,0,79247,4,"0",0,0,1,0,0,0,0,1
